currencies,Buy,Sell,Scrape_time
US Dollar,47.2526,47.3521,2025-10-30
Euro,54.969,55.0894,2025-10-30
Pound Sterling,62.4396,62.59,2025-10-30
Swiss Franc,59.251,59.4054,2025-10-30
Japanese Yen 100,31.0179,31.0913,2025-10-30
Saudi Riyal,12.5997,12.6269,2025-10-30
Kuwaiti Dinar,154.078,154.4525,2025-10-30
UAE Dirham,12.8642,12.8923,2025-10-30
Chinese yuan,6.6555,6.6698,2025-10-30
US Dollar,47.1714,47.2703,2025-10-31
Euro,54.7189,54.8477,2025-10-31
Pound Sterling,62.1531,62.2928,2025-10-31
Swiss Franc,58.9127,59.0731,2025-10-31
Japanese Yen 100,30.6228,30.689,2025-10-31
Saudi Riyal,12.5777,12.6047,2025-10-31
Kuwaiti Dinar,153.8784,154.2512,2025-10-31
UAE Dirham,12.8424,12.87,2025-10-31
Chinese yuan,6.6322,6.6467,2025-10-31
US Dollar,47.1714,47.2703,2025-11-01
Euro,54.7189,54.8477,2025-11-01
Pound Sterling,62.1531,62.2928,2025-11-01
Swiss Franc,58.9127,59.0731,2025-11-01
Japanese Yen 100,30.6228,30.689,2025-11-01
Saudi Riyal,12.5777,12.6047,2025-11-01
Kuwaiti Dinar,153.8784,154.2512,2025-11-01
UAE Dirham,12.8424,12.87,2025-11-01
Chinese yuan,6.6322,6.6467,2025-11-01
US Dollar,47.1714,47.2703,2025-11-02
Euro,54.7189,54.8477,2025-11-02
Pound Sterling,62.1531,62.2928,2025-11-02
Swiss Franc,58.9127,59.0731,2025-11-02
Japanese Yen 100,30.6228,30.689,2025-11-02
Saudi Riyal,12.5777,12.6047,2025-11-02
Kuwaiti Dinar,153.8784,154.2512,2025-11-02
UAE Dirham,12.8424,12.87,2025-11-02
Chinese yuan,6.6322,6.6467,2025-11-02
US Dollar,47.183,47.282,2025-11-03
Euro,54.4209,54.5492,2025-11-03
Pound Sterling,62.0221,62.1758,2025-11-03
Swiss Franc,58.627,58.7938,2025-11-03
Japanese Yen 100,30.6363,30.7026,2025-11-03
Saudi Riyal,12.5808,12.6079,2025-11-03
Kuwaiti Dinar,153.6005,154.0733,2025-11-03
UAE Dirham,12.8463,12.875,2025-11-03
Chinese yuan,6.6288,6.6436,2025-11-03
US Dollar,47.1963,47.2963,2025-11-04
Euro,54.3654,54.4901,2025-11-04
Pound Sterling,62.0065,62.1757,2025-11-04
Swiss Franc,58.4547,58.6148,2025-11-04
Japanese Yen 100,30.6151,30.682,2025-11-04
Saudi Riyal,12.5837,12.611,2025-11-04
Kuwaiti Dinar,153.5788,153.9442,2025-11-04
UAE Dirham,12.8474,12.8781,2025-11-04
Chinese yuan,6.6272,6.6418,2025-11-04
US Dollar,47.3134,47.4134,2025-11-05
Euro,54.3253,54.4496,2025-11-05
Pound Sterling,61.7771,61.9267,2025-11-05
Swiss Franc,58.3972,58.5496,2025-11-05
Japanese Yen 100,30.803,30.8701,2025-11-05
Saudi Riyal,12.6156,12.6429,2025-11-05
Kuwaiti Dinar,153.8748,154.2502,2025-11-05
UAE Dirham,12.8811,12.909,2025-11-05
Chinese yuan,6.6395,6.6549,2025-11-05
US Dollar,47.3591,47.4591,2025-11-06
Euro,54.4109,54.5306,2025-11-06
Pound Sterling,61.7374,61.8867,2025-11-06
Swiss Franc,58.4464,58.606,2025-11-06
Japanese Yen 100,30.8107,30.8778,2025-11-06
Saudi Riyal,12.6271,12.6544,2025-11-06
Kuwaiti Dinar,154.0636,154.4291,2025-11-06
UAE Dirham,12.8935,12.9214,2025-11-06
Chinese yuan,6.6446,6.6592,2025-11-06
US Dollar,47.2962,47.3953,2025-11-07
Euro,54.5514,54.6705,2025-11-07
Pound Sterling,61.9343,62.0973,2025-11-07
Swiss Franc,58.5421,58.6939,2025-11-07
Japanese Yen 100,30.7938,30.8603,2025-11-07
Saudi Riyal,12.61,12.6371,2025-11-07
Kuwaiti Dinar,154.009,154.3821,2025-11-07
UAE Dirham,12.8753,12.9058,2025-11-07
Chinese yuan,6.6424,6.6567,2025-11-07
US Dollar,47.2962,47.3953,2025-11-08
Euro,54.5514,54.6705,2025-11-08
Pound Sterling,61.9343,62.0973,2025-11-08
Swiss Franc,58.5421,58.6939,2025-11-08
Japanese Yen 100,30.7938,30.8603,2025-11-08
Saudi Riyal,12.61,12.6371,2025-11-08
Kuwaiti Dinar,154.009,154.3821,2025-11-08
UAE Dirham,12.8753,12.9058,2025-11-08
Chinese yuan,6.6424,6.6567,2025-11-08
US Dollar,47.2962,47.3953,2025-11-09
Euro,54.5514,54.6705,2025-11-09
Pound Sterling,61.9343,62.0973,2025-11-09
Swiss Franc,58.5421,58.6939,2025-11-09
Japanese Yen 100,30.7938,30.8603,2025-11-09
Saudi Riyal,12.61,12.6371,2025-11-09
Kuwaiti Dinar,154.009,154.3821,2025-11-09
UAE Dirham,12.8753,12.9058,2025-11-09
Chinese yuan,6.6424,6.6567,2025-11-09
US Dollar,47.286,47.386,2025-11-10
Euro,54.6863,54.8114,2025-11-10
Pound Sterling,62.2142,62.3837,2025-11-10
Swiss Franc,58.7039,58.8792,2025-11-10
Japanese Yen 100,30.8152,30.8905,2025-11-10
Saudi Riyal,12.6072,12.6346,2025-11-10
Kuwaiti Dinar,154.011,154.387,2025-11-10
UAE Dirham,12.8743,12.9033,2025-11-10
Chinese yuan,6.6382,6.6536,2025-11-10
US Dollar,47.2106,47.3106,2025-11-11
Euro,54.6132,54.7336,2025-11-11
Pound Sterling,62.2141,62.3837,2025-11-11
Swiss Franc,58.6103,58.7417,2025-11-11
Japanese Yen 100,30.6264,30.6992,2025-11-11
Saudi Riyal,12.5875,12.6148,2025-11-11
Kuwaiti Dinar,153.7053,154.071,2025-11-11
UAE Dirham,12.8531,12.881,2025-11-11
Chinese yuan,6.6308,6.6455,2025-11-11
US Dollar,47.1685,47.2685,2025-11-12
Euro,54.5834,54.7086,2025-11-12
Pound Sterling,62.0219,62.1628,2025-11-12
Swiss Franc,58.8136,58.9677,2025-11-12
Japanese Yen 100,30.5793,30.6461,2025-11-12
Saudi Riyal,12.5763,12.6036,2025-11-12
Kuwaiti Dinar,153.5684,153.9341,2025-11-12
UAE Dirham,12.842,12.8727,2025-11-12
Chinese yuan,6.6254,6.6398,2025-11-12
US Dollar,47.1794,47.2794,2025-11-13
Euro,54.6196,54.7448,2025-11-13
Pound Sterling,61.8664,62.0164,2025-11-13
Swiss Franc,59.0481,59.2029,2025-11-13
Japanese Yen 100,30.4816,30.5541,2025-11-13
Saudi Riyal,12.5795,12.6068,2025-11-13
Kuwaiti Dinar,153.5738,153.9494,2025-11-13
UAE Dirham,12.8446,12.8725,2025-11-13
Chinese yuan,6.6287,6.6441,2025-11-13
US Dollar,47.1376,47.2359,2025-11-14
Euro,54.7457,54.8645,2025-11-14
Pound Sterling,62.0567,62.2097,2025-11-14
Swiss Franc,59.2479,59.3789,2025-11-14
Japanese Yen 100,30.4704,30.5359,2025-11-14
Saudi Riyal,12.5697,12.5966,2025-11-14
Kuwaiti Dinar,153.6329,154.0035,2025-11-14
UAE Dirham,12.8332,12.8607,2025-11-14
Chinese yuan,6.6423,6.657,2025-11-14
US Dollar,47.1376,47.2359,2025-11-15
Euro,54.7457,54.8645,2025-11-15
Pound Sterling,62.0567,62.2097,2025-11-15
Swiss Franc,59.2479,59.3789,2025-11-15
Japanese Yen 100,30.4704,30.5359,2025-11-15
Saudi Riyal,12.5697,12.5966,2025-11-15
Kuwaiti Dinar,153.6329,154.0035,2025-11-15
UAE Dirham,12.8332,12.8607,2025-11-15
Chinese yuan,6.6423,6.657,2025-11-15
US Dollar,47.1376,47.2359,2025-11-16
Euro,54.7457,54.8645,2025-11-16
Pound Sterling,62.0567,62.2097,2025-11-16
Swiss Franc,59.2479,59.3789,2025-11-16
Japanese Yen 100,30.4704,30.5359,2025-11-16
Saudi Riyal,12.5697,12.5966,2025-11-16
Kuwaiti Dinar,153.6329,154.0035,2025-11-16
UAE Dirham,12.8332,12.8607,2025-11-16
Chinese yuan,6.6423,6.657,2025-11-16
US Dollar,47.09,47.1886,2025-11-17
Euro,54.7186,54.8426,2025-11-17
Pound Sterling,62.0081,62.1804,2025-11-17
Swiss Franc,59.2924,59.4539,2025-11-17
Japanese Yen 100,30.4691,30.5349,2025-11-17
Saudi Riyal,12.555,12.5819,2025-11-17
Kuwaiti Dinar,153.4226,153.7939,2025-11-17
UAE Dirham,12.8209,12.8495,2025-11-17
Chinese yuan,6.6325,6.647,2025-11-17
US Dollar,47.1065,47.205,2025-11-18
Euro,54.7,54.8192,2025-11-18
Pound Sterling,62.0392,62.1737,2025-11-18
Swiss Franc,59.3654,59.4971,2025-11-18
Japanese Yen 100,30.4423,30.5159,2025-11-18
Saudi Riyal,12.5607,12.5877,2025-11-18
Kuwaiti Dinar,153.5663,153.9377,2025-11-18
UAE Dirham,12.823,12.8533,2025-11-18
Chinese yuan,6.6307,6.6448,2025-11-18
US Dollar,47.1235,47.2235,2025-11-19
Euro,54.6115,54.7368,2025-11-19
Pound Sterling,61.9533,62.1037,2025-11-19
Swiss Franc,59.1633,59.3111,2025-11-19
Japanese Yen 100,30.3572,30.4236,2025-11-19
Saudi Riyal,12.5649,12.5923,2025-11-19
Kuwaiti Dinar,153.5268,153.9028,2025-11-19
UAE Dirham,12.8294,12.8573,2025-11-19
Chinese yuan,6.6264,6.6415,2025-11-19
US Dollar,47.3418,47.4418,2025-11-20
Euro,54.836,54.9565,2025-11-20
Pound Sterling,62.0982,62.2483,2025-11-20
Swiss Franc,59.037,59.1912,2025-11-20
Japanese Yen 100,30.3026,30.3686,2025-11-20
Saudi Riyal,12.6231,12.6505,2025-11-20
Kuwaiti Dinar,154.1023,154.4781,2025-11-20
UAE Dirham,12.8888,12.9167,2025-11-20
Chinese yuan,6.6575,6.6725,2025-11-20
US Dollar,47.4035,47.5035,2025-11-21
Euro,54.5709,54.6908,2025-11-21
Pound Sterling,61.8948,62.0444,2025-11-21
Swiss Franc,58.6895,58.8425,2025-11-21
Japanese Yen 100,30.0688,30.1342,2025-11-21
Saudi Riyal,12.6393,12.6666,2025-11-21
Kuwaiti Dinar,154.1779,154.5534,2025-11-21
UAE Dirham,12.9056,12.9363,2025-11-21
Chinese yuan,6.663,6.6775,2025-11-21
US Dollar,47.4035,47.5035,2025-11-22
Euro,54.5709,54.6908,2025-11-22
Pound Sterling,61.8948,62.0444,2025-11-22
Swiss Franc,58.6895,58.8425,2025-11-22
Japanese Yen 100,30.0688,30.1342,2025-11-22
Saudi Riyal,12.6393,12.6666,2025-11-22
Kuwaiti Dinar,154.1779,154.5534,2025-11-22
UAE Dirham,12.9056,12.9363,2025-11-22
Chinese yuan,6.663,6.6775,2025-11-22
US Dollar,47.4035,47.5035,2025-11-23
Euro,54.5709,54.6908,2025-11-23
Pound Sterling,61.8948,62.0444,2025-11-23
Swiss Franc,58.6895,58.8425,2025-11-23
Japanese Yen 100,30.0688,30.1342,2025-11-23
Saudi Riyal,12.6393,12.6666,2025-11-23
Kuwaiti Dinar,154.1779,154.5534,2025-11-23
UAE Dirham,12.9056,12.9363,2025-11-23
Chinese yuan,6.663,6.6775,2025-11-23
US Dollar,47.5777,47.6777,2025-11-24
Euro,54.7667,54.8961,2025-11-24
Pound Sterling,62.284,62.434,2025-11-24
Swiss Franc,58.8033,58.9633,2025-11-24
Japanese Yen 100,30.4205,30.4864,2025-11-24
Saudi Riyal,12.685,12.7124,2025-11-24
Kuwaiti Dinar,154.7595,155.1352,2025-11-24
UAE Dirham,12.953,12.9809,2025-11-24
Chinese yuan,6.6938,6.7089,2025-11-24
US Dollar,47.7115,47.8115,2025-11-25
Euro,55.0686,55.1888,2025-11-25
Pound Sterling,62.4877,62.6235,2025-11-25
Swiss Franc,59.1074,59.2606,2025-11-25
Japanese Yen 100,30.4205,30.492,2025-11-25
Saudi Riyal,12.7207,12.748,2025-11-25
Kuwaiti Dinar,155.2451,155.611,2025-11-25
UAE Dirham,12.9894,13.0181,2025-11-25
Chinese yuan,6.7137,6.7295,2025-11-25
US Dollar,47.7718,47.8718,2025-11-26
Euro,55.0761,55.2009,2025-11-26
Pound Sterling,62.6813,62.8173,2025-11-26
Swiss Franc,58.9921,59.1448,2025-11-26
Japanese Yen 100,30.5427,30.6144,2025-11-26
Saudi Riyal,12.7364,12.7638,2025-11-26
Kuwaiti Dinar,155.4919,155.8681,2025-11-26
UAE Dirham,13.0062,13.0352,2025-11-26
Chinese yuan,6.7404,6.7553,2025-11-26
US Dollar,47.6618,47.7618,2025-11-27
Euro,55.159,55.2795,2025-11-27
Pound Sterling,62.68,62.8163,2025-11-27
Swiss Franc,59.0604,59.2137,2025-11-27
Japanese Yen 100,30.4373,30.509,2025-11-27
Saudi Riyal,12.7071,12.7344,2025-11-27
Kuwaiti Dinar,155.0833,155.662,2025-11-27
UAE Dirham,12.9759,13.0049,2025-11-27
Chinese yuan,6.7312,6.7465,2025-11-27
US Dollar,47.5969,47.6969,2025-11-28
