id,currency,ratedate,buyingrate,centralrate,sellingrate,scrape_date
60157,POUNDS STERLING,2025-10-31,1863.0089,1863.6645,1863.6645,2025-11-28
60158,US DOLLAR,2025-10-31,1420.7343,1421.2343,1421.7343,2025-11-28
60161,YUAN/RENMINBI,2025-11-03,201.5506,201.6208,201.691,2025-12-01
60163,EURO,2025-11-03,1652.223,1652.7985,1653.3741,2025-12-01
60164,YEN,2025-11-03,9.3035,9.3067,9.31,2025-12-01
60165,RIYAL,2025-11-03,382.6968,382.8301,382.9634,2025-12-01
60169,POUNDS STERLING,2025-11-03,1884.4614,1885.1179,1885.7743,2025-12-01
60170,US DOLLAR,2025-11-03,1435.3427,1435.8427,1436.3427,2025-12-01
60173,YUAN/RENMINBI,2025-11-04,201.0438,201.114,201.1842,2025-12-02
60175,EURO,2025-11-04,1647.2707,1647.8456,1648.4205,2025-12-02
60176,YEN,2025-11-04,9.3394,9.3426,9.3459,2025-12-02
60177,RIYAL,2025-11-04,382.0015,382.1348,382.2682,2025-12-02
60181,POUNDS STERLING,2025-11-04,1872.0549,1872.7082,1873.3616,2025-12-02
60183,US DOLLAR,2025-11-04,1432.6585,1433.1585,1433.6585,2025-12-02
60185,YUAN/RENMINBI,2025-11-05,201.6546,201.7248,201.7949,2025-12-03
60187,EURO,2025-11-05,1650.2443,1650.8183,1651.3923,2025-12-03
60188,YEN,2025-11-05,9.3356,9.3388,9.3421,2025-12-03
60189,RIYAL,2025-11-05,383.2707,383.404,383.5373,2025-12-03
60193,POUNDS STERLING,2025-11-05,1872.481,1873.1323,1873.7836,2025-12-03
60194,US DOLLAR,2025-11-05,1437.495,1437.995,1438.495,2025-12-03
60197,YUAN/RENMINBI,2025-11-06,201.635,201.7052,201.7754,2025-12-04
60199,EURO,2025-11-06,1656.5591,1657.136,1657.7129,2025-12-04
60200,YEN,2025-11-06,9.3515,9.3548,9.3581,2025-12-04
60201,RIYAL,2025-11-06,382.7931,382.9264,383.0597,2025-12-04
60205,POUNDS STERLING,2025-11-06,1881.2527,1881.9079,1882.563,2025-12-04
60206,US DOLLAR,2025-11-06,1435.742,1436.242,1436.742,2025-12-04
60210,YUAN/RENMINBI,2025-11-07,201.5723,201.6425,201.7127,2025-12-05
60212,EURO,2025-11-07,1656.3697,1656.9466,1657.5235,2025-12-05
60213,YEN,2025-11-07,9.3694,9.3727,9.3759,2025-12-05
60214,RIYAL,2025-11-07,382.7595,382.8928,383.0261,2025-12-05
60218,POUNDS STERLING,2025-11-07,1881.0376,1881.6927,1882.3479,2025-12-05
60219,US DOLLAR,2025-11-07,1435.5778,1436.0778,1436.5778,2025-12-05
60222,YUAN/RENMINBI,2025-11-10,201.7521,201.8223,201.8926,2025-12-08
